Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr)),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Walking,2022-10-01 10:52:00,2022-10-01 12:16,01:24:36,324.03,195.53,112,81.38,2.41,2.77,5319,0,0.0,0.0,1.0,0.0,0
Traditional Strength Training,2022-09-30 16:38:00,2022-09-30 17:23,00:45:06,364.21,294.11,162,120.03,0.0,0.0,274,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-30 08:39:00,2022-09-30 09:03,00:23:33,163.76,106.77,149,97.12,1.06,2.97,1637,0,0.0,0.0,7.0,82.48,0
Cycling,2022-09-28 17:20:00,2022-09-28 17:31,00:10:54,60.96,30.58,169,118.46,1.3,7.17,389,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-28 08:30:00,2022-09-28 08:47,00:17:11,171.06,85.3,150,97.63,0.801,3.2,1512,0,0.0,0.0,6.0,73.56,0
Cycling,2022-09-27 18:51:00,2022-09-27 19:07,00:16:50,117.29,70.88,125,106.58,2.79,9.93,1380,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-27 08:38:00,2022-09-27 09:03,00:25:11,184.74,123.44,135,84.89,1.31,3.13,1789,0,0.0,0.0,6.0,77.99,0
Walking,2022-09-26 09:09:00,2022-09-26 09:29,00:20:06,168.1,114.92,156,110.22,1.12,3.33,2008,0,0.0,0.0,7.0,74.48,0
Functional Strength Training,2022-09-26 08:58:00,2022-09-26 09:08,00:10:09,98.38,82.32,168,130.38,0.0,0.0,368,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-26 08:31:00,2022-09-26 08:58,00:26:13,150.15,109.52,105,86.67,1.24,3.28,2049,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-25 14:53:00,2022-09-25 15:43,00:50:11,203.25,106.36,135,87.7,1.16,3.09,2195,0,0.0,0.0,9.0,77.03,0
Functional Strength Training,2022-09-25 13:09:00,2022-09-25 13:55,00:45:51,339.76,247.75,156,105.63,0.0,0.0,407,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-24 08:33:00,2022-09-24 08:55,00:22:36,192.3,137.14,131,95.93,1.27,3.37,2299,0,0.0,0.0,7.0,73.65,0
Walking,2022-09-23 09:48:00,2022-09-23 10:12,00:23:36,115.24,71.15,98,88.72,0.897,2.28,1258,0,0.0,0.0,0.0,0.0,0
Cycling,2022-09-23 08:37:00,2022-09-23 09:22,00:45:10,532.14,458.9,149,133.26,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-23 08:07:00,2022-09-23 08:30,00:23:16,171.02,134.78,143,94.65,1.32,3.41,2443,0,0.0,0.0,7.0,79.3,0
Walking,2022-09-22 18:36:00,2022-09-22 19:10,00:33:31,177.12,112.94,144,90.89,1.21,2.85,2426,0,0.0,0.0,7.0,72.74,0
Walking,2022-09-22 08:49:00,2022-09-22 09:30,00:40:58,305.16,219.73,137,91.61,2.16,3.17,4184,0,0.0,0.0,8.0,79.69,0
Walking,2022-09-21 12:46:00,2022-09-21 12:53,00:06:49,66.52,36.11,103,92.63,0.326,2.87,0,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-21 09:29:00,2022-09-21 09:52,00:22:31,171.03,114.9,147,107.85,1.11,2.97,2174,0,0.0,0.0,8.0,79.99,0
Functional Strength Training,2022-09-21 09:14:00,2022-09-21 09:29,00:15:00,145.21,121.64,164,143.97,0.0,0.0,210,0,0.0,0.0,0.0,0.0,0
Swimming,2022-09-21 08:46:00,2022-09-21 09:02,00:15:47,230.25,205.39,141,130.02,78.23,0.169,0,0,606.78,38.44,0.0,0.0,0
Walking,2022-09-21 08:25:00,2022-09-21 08:43,00:18:29,116.67,88.1,110,90.35,0.953,3.09,1323,0,0.0,0.0,1.0,0.0,0
Cycling,2022-09-20 13:00:00,2022-09-20 13:45,00:45:04,590.52,499.13,157,146.79,0.0,0.0,15,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-20 08:40:00,2022-09-20 08:57,00:17:42,130.8,82.6,135,90.67,0.779,2.65,1570,0,0.0,0.0,6.0,76.54,0
Traditional Strength Training,2022-09-19 16:42:00,2022-09-19 17:55,01:13:18,643.81,531.87,174,123.2,0.0,0.0,1290,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-09-19 11:15:00,2022-09-19 11:43,00:27:52,110.78,70.2,140,92.65,0.0,0.0,64,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-19 08:58:00,2022-09-19 09:43,00:44:51,234.05,143.08,141,87.65,1.52,2.92,3296,0,0.0,0.0,7.0,76.9,0
Walking,2022-09-18 11:37:00,2022-09-18 13:07,01:30:30,438.32,269.99,121,85.49,2.71,2.5,5856,0,0.0,0.0,6.0,87.24,0
Walking,2022-09-17 15:31:00,2022-09-17 15:54,00:23:36,154.47,117.41,168,107.83,1.16,2.96,1734,0,0.0,0.0,7.94,70.24,0
Walking,2022-09-17 13:19:00,2022-09-17 13:38,00:18:39,127.58,80.95,123,111.33,0.882,2.84,1502,0,0.0,0.0,1.0,0.0,0
Cycling,2022-09-17 12:04:00,2022-09-17 12:28,00:24:07,371.67,311.97,184,165.5,0.0,0.0,12,0,0.0,0.0,0.0,0.0,0
Cycling,2022-09-17 11:15:00,2022-09-17 12:00,00:45:03,531.05,455.6,161,145.34,0.0,0.0,41,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-16 21:25:00,2022-09-16 21:40,00:14:56,67.31,44.13,116,101.39,0.676,2.72,1377,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-16 18:04:00,2022-09-16 19:30,01:25:58,360.57,217.34,109,81.68,2.66,2.66,5328,0,0.0,0.0,0.0,17.29,0
Walking,2022-09-16 08:34:00,2022-09-16 09:08,00:33:36,222.92,149.71,135,89.35,1.63,2.9,3190,0,0.0,0.0,7.0,77.1,0
Walking,2022-09-15 12:56:00,2022-09-15 13:14,00:18:30,130.03,80.93,104,85.69,0.869,2.82,1791,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-14 09:16:00,2022-09-14 09:38,00:21:41,154.8,100.91,154,112.05,1.08,3.08,2084,0,0.0,0.0,6.0,74.84,0
Functional Strength Training,2022-09-14 09:01:00,2022-09-14 09:16,00:14:39,141.14,118.97,169,132.47,0.0,0.0,413,0,0.0,0.0,0.0,0.0,0
Swimming,2022-09-14 08:36:00,2022-09-14 08:50,00:14:18,200.76,178.92,149,121.85,189.31,0.451,0,0,502.37,35.13,0.0,0.0,0
Walking,2022-09-14 08:16:00,2022-09-14 08:35,00:19:08,127.22,97.84,104,91.76,0.991,3.11,1838,0,0.0,0.0,0.0,0.0,0
Cycling,2022-09-13 09:07:00,2022-09-13 09:52,00:45:07,538.14,447.4,148,136.22,0.0,0.0,44,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-13 08:46:00,2022-09-13 08:59,00:12:38,91.72,72.22,131,90.65,0.626,2.98,678,0,0.0,0.0,6.0,74.67,0
Traditional Strength Training,2022-09-12 17:43:00,2022-09-12 18:20,00:36:21,322.3,246.09,162,125.25,0.0,0.0,384,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-12 09:06:00,2022-09-12 09:26,00:19:58,144.96,92.49,133,113.01,1.1,3.29,1772,0,0.0,0.0,5.0,71.56,0
Functional Strength Training,2022-09-12 08:55:00,2022-09-12 09:06,00:11:26,116.71,99.21,165,148.8,0.0,0.0,538,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-12 08:25:00,2022-09-12 08:43,00:18:17,124.98,96.9,105,91.15,0.994,3.26,1208,0,0.0,0.0,1.0,20.37,0
Walking,2022-09-11 11:32:00,2022-09-11 12:00,00:28:18,58.74,0.941,102,93.02,0.982,2.08,2007,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-10 19:07:00,2022-09-10 19:36,00:29:01,118.2,55.99,103,93.8,0.813,2.78,2224,0,0.0,0.0,1.0,0.0,0
Traditional Strength Training,2022-09-09 16:33:00,2022-09-09 17:07,00:34:04,334.9,261.08,167,125.28,0.0,0.0,256,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-09-09 16:13:00,2022-09-09 16:33,00:19:25,156.89,127.31,162,117.5,0.0,0.0,191,0,0.0,0.0,0.0,0.0,0
Walking,2022-09-08 09:18:00,2022-09-08 09:38,00:20:41,171.15,118.2,157,117.87,1.09,3.16,2134,0,0.0,0.0,7.0,83.69,0
Functional Strength Training,2022-09-08 09:03:00,2022-09-08 09:17,00:14:49,151.53,128.9,170,142.24,0.0,0.0,144,0,0.0,0.0,0.0,0.0,0
