date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2019-05-19,83.0,100.0,100.0,41.0,93.0,80.0,96.0,33.0,35580.0,39840.0,4260.0,11430.0,21480.0,2670.0,40.0,89.0,990.0,19110.0,2019-05-18T23:53:40-05:00,2019-05-19T10:57:40-05:00,53.27,48.0,53.0,-0.07,None,12.875,90,100,100,60,100,97,166.0,2129.0,3249.0,2881.0,15540.0,34560.0,5880.0,540.0,300.0,29580.0,1.21875,0.0,88.0,82,100,45,91,100.0,93.0,None,100.0
2019-05-20,73.0,80.0,96.0,69.0,86.0,67.0,79.0,21.0,27780.0,32400.0,4620.0,7440.0,15930.0,4410.0,48.0,86.0,1680.0,16590.0,2019-05-20T01:12:21-05:00,2019-05-20T10:12:21-05:00,55.34,50.0,53.0,-0.05,0.02,12.625,85,100,100,43,100,97,216.0,2116.0,238.0,3420.0,1920.0,35340.0,300.0,120.0,1020.0,47700.0,1.1875,0.0,72.0,66,66,40,100,100.0,90.0,None,60.0
2019-05-21,87.0,90.0,98.0,97.0,100.0,84.0,90.0,48.0,30360.0,31920.0,1560.0,8130.0,14760.0,7470.0,41.0,95.0,510.0,15720.0,2019-05-21T00:22:55-05:00,2019-05-21T09:14:55-05:00,54.72,49.0,52.0,0.04,0.08,12.5,85,100,95,43,100,98,485.0,2419.0,2926.0,7940.0,9720.0,32400.0,2580.0,1020.0,1740.0,38940.0,1.375,1.0,88.0,88,71,None,100,98.0,96.0,None,100.0
2019-05-23,54.0,29.0,20.0,21.0,83.0,77.0,94.0,100.0,14400.0,17040.0,2640.0,1560.0,11400.0,1440.0,37.0,85.0,720.0,8100.0,2019-05-22T22:52:28+01:00,2019-05-23T03:36:28+01:00,63.15,57.0,37.0,0.2,0.27,12.5,74,100,100,1,96,95,0.0,1980.0,8.0,0.0,720.0,0.0,0.0,0.0,0.0,85680.0,1.1875,0.0,56.0,33,49,None,100,70.0,42.0,None,30.0
2019-05-25,76.0,82.0,84.0,91.0,76.0,88.0,79.0,11.0,28440.0,34680.0,6240.0,6270.0,16380.0,5790.0,33.0,82.0,1650.0,16080.0,2019-05-25T02:24:28+01:00,2019-05-25T12:02:28+01:00,53.33,46.0,63.0,0.06,0.35,12.5,64,100,100,1,71,47,14.0,1913.0,370.0,280.0,7500.0,41400.0,840.0,0.0,0.0,36660.0,1.09375,0.0,75.0,69,58,None,100,99.0,98.0,None,55.0
2019-05-26,42.0,21.0,5.0,22.0,46.0,54.0,91.0,100.0,11100.0,16200.0,5100.0,420.0,9180.0,1500.0,50.0,69.0,1200.0,9030.0,2019-05-25T23:44:30+01:00,2019-05-26T04:14:30+01:00,55.83,49.0,50.0,0.06,0.27,12.875,62,100,100,1,71,30,46.0,2000.0,1139.0,932.0,9780.0,16620.0,2580.0,120.0,0.0,57300.0,1.15625,0.0,55.0,11,40,None,100,99.0,99.0,None,26.0
2019-05-27,86.0,100.0,100.0,78.0,100.0,93.0,91.0,7.0,34680.0,36000.0,1320.0,9750.0,19950.0,4980.0,31.0,96.0,600.0,17970.0,2019-05-27T02:10:45+02:00,2019-05-27T12:10:45+02:00,52.42,48.0,54.0,-0.11,0.18,13.0,56,100,100,1,40,13,2.0,1892.0,39.0,26.0,2520.0,37080.0,120.0,0.0,0.0,46680.0,1.0625,0.0,84.0,87,54,None,100,100.0,100.0,None,100.0
2019-05-28,76.0,98.0,95.0,60.0,76.0,81.0,54.0,8.0,32820.0,39900.0,7080.0,7110.0,21840.0,3870.0,37.0,82.0,2670.0,21000.0,2019-05-28T01:15:28+02:00,2019-05-28T12:20:28+02:00,60.6,50.0,37.0,0.4,0.57,12.5,48,100,78,1,1,2,10.0,1926.0,229.0,161.0,9960.0,37560.0,720.0,60.0,0.0,38100.0,1.09375,2.0,73.0,69,60,None,100,68.0,86.0,None,46.0
2019-05-29,74.0,63.0,66.0,95.0,98.0,87.0,98.0,36.0,23460.0,25200.0,1740.0,4980.0,12360.0,6120.0,35.0,93.0,840.0,12600.0,2019-05-29T01:37:01+02:00,2019-05-29T08:37:01+02:00,51.25,46.0,60.0,-0.19,0.44,12.125,50,100,100,1,1,2,7.0,1915.0,174.0,92.0,4140.0,33060.0,540.0,0.0,0.0,48660.0,1.09375,0.0,78.0,65,55,None,100,98.0,100.0,None,89.0
2019-05-30,89.0,98.0,84.0,96.0,95.0,85.0,84.0,62.0,33000.0,36480.0,3480.0,6270.0,20160.0,6570.0,31.0,90.0,1470.0,18930.0,2019-05-29T23:00:26+02:00,2019-05-30T09:08:26+02:00,59.23,48.0,42.0,0.08,0.31,12.25,51,100,100,1,1,6,89.0,2001.0,2544.0,1779.0,12540.0,38880.0,4500.0,300.0,0.0,30180.0,1.125,0.0,79.0,92,64,None,100,97.0,90.0,None,50.0
2019-05-31,86.0,91.0,98.0,96.0,86.0,84.0,93.0,42.0,30600.0,35520.0,4920.0,8160.0,15720.0,6720.0,39.0,86.0,1140.0,16560.0,2019-05-31T00:20:30+01:00,2019-05-31T10:12:30+01:00,51.2,47.0,66.0,-0.12,0.19,12.375,50,100,95,1,1,6,18.0,1926.0,407.0,315.0,4380.0,38100.0,960.0,120.0,0.0,42840.0,1.09375,1.0,83.0,87,69,34,100,100.0,100.0,None,100.0
2019-06-01,89.0,96.0,98.0,96.0,90.0,85.0,82.0,58.0,32070.0,36360.0,4290.0,8250.0,17130.0,6690.0,35.0,88.0,1560.0,17760.0,2019-05-31T23:28:27+01:00,2019-06-01T09:34:27+01:00,53.95,49.0,54.0,0.05,0.21,12.625,50,100,95,1,1,6,26.0,1949.0,713.0,481.0,10740.0,32760.0,1620.0,60.0,0.0,41220.0,1.125,1.0,88.0,92,78,None,100,100.0,96.0,None,79.0
2019-06-02,81.0,87.0,84.0,97.0,86.0,76.0,98.0,21.0,29520.0,34200.0,4680.0,6360.0,15990.0,7170.0,38.0,86.0,930.0,16590.0,2019-06-02T01:15:29+01:00,2019-06-02T10:45:29+01:00,51.69,46.0,71.0,-0.4,-0.1,11.875,51,100,100,1,1,5,9.0,1918.0,284.0,158.0,5340.0,35700.0,420.0,0.0,0.0,44940.0,1.09375,0.0,88.0,77,80,None,100,91.0,100.0,None,94.0
2019-06-03,71.0,77.0,71.0,20.0,93.0,80.0,93.0,47.0,26910.0,30240.0,3330.0,5370.0,20220.0,1320.0,39.0,89.0,1140.0,15570.0,2019-06-03T00:26:00+01:00,2019-06-03T08:50:00+01:00,52.26,46.0,59.0,-0.46,-0.2,12.375,51,100,100,1,1,4,4.0,1924.0,130.0,45.0,4140.0,28920.0,360.0,0.0,0.0,52980.0,1.09375,0.0,79.0,59,78,None,100,89.0,100.0,None,56.0
2019-06-04,65.0,50.0,35.0,51.0,97.0,86.0,88.0,79.0,20070.0,21900.0,1830.0,2700.0,14100.0,3270.0,37.0,92.0,480.0,10800.0,2019-06-04T00:40:32+01:00,2019-06-04T06:45:32+01:00,52.07,46.0,78.0,-0.28,-0.16,12.875,54,100,100,1,1,28,208.0,2143.0,4691.0,3995.0,9780.0,32100.0,4440.0,1260.0,240.0,38580.0,1.21875,0.0,72.0,49,70,None,100,95.0,100.0,None,28.0
2019-06-05,84.0,83.0,68.0,96.0,97.0,87.0,90.0,64.0,28500.0,31080.0,2580.0,5160.0,16800.0,6540.0,34.0,92.0,510.0,14880.0,2019-06-05T00:02:43+02:00,2019-06-05T08:40:43+02:00,51.45,47.0,80.0,-0.5,-0.16,11.375,71,90,100,25,40,84,719.0,2841.0,18367.0,13796.0,26520.0,31320.0,18300.0,6120.0,120.0,4020.0,1.625,0.0,87.0,83,70,None,100,88.0,100.0,None,100.0
2019-06-06,83.0,86.0,65.0,96.0,96.0,82.0,83.0,61.0,29400.0,32220.0,2820.0,4890.0,17790.0,6720.0,35.0,91.0,540.0,15480.0,2019-06-05T23:58:50+02:00,2019-06-06T08:55:50+02:00,53.64,48.0,66.0,0.12,0.31,12.25,75,85,95,25,71,96,474.0,2514.0,10101.0,8333.0,28620.0,33420.0,6660.0,3000.0,960.0,13740.0,1.4375,1.0,79.0,81,72,64,58,95.0,97.0,None,86.0
2019-06-07,77.0,62.0,58.0,95.0,97.0,93.0,91.0,70.0,23070.0,25080.0,2010.0,4380.0,12660.0,6030.0,30.0,92.0,1050.0,12870.0,2019-06-07T00:23:41+02:00,2019-06-07T07:21:41+02:00,60.83,52.0,47.0,0.07,0.39,11.875,81,94,78,43,96,100,1362.0,3515.0,36409.0,27305.0,26100.0,25440.0,18120.0,14760.0,0.0,1980.0,2.03125,2.0,59.0,70,67,52,53,99.0,60.0,None,28.0
